"Iteration","Status","ExitCode","InitMilliseconds","ErbMilliseconds","WallMilliseconds","WarningCount","WarningLv2Count"
"1","OK","0","10644","5379","12091","0","0"
"2","OK","0","10832","5555","12240","0","0"
"3","OK","0","11132","5842","12538","0","0"
"4","OK","0","11497","6180","12839","0","0"
"5","OK","0","11293","5922","12816","0","0"
"6","OK","0","11195","5806","12658","0","0"
"7","OK","0","11017","5747","12396","0","0"
"8","OK","0","11006","5692","12425","0","0"
"9","OK","0","10940","5636","12383","0","0"
"10","OK","0","11258","5869","12630","0","0"
"11","OK","0","11094","5701","12485","0","0"
"12","OK","0","11383","6072","12706","0","0"
"13","OK","0","10690","5415","12067","0","0"
"14","OK","0","11413","6080","12857","0","0"
"15","OK","0","11181","5889","12504","0","0"
"16","OK","0","11241","5888","12635","0","0"
"17","OK","0","10976","5663","12417","0","0"
"18","OK","0","11110","5816","12548","0","0"
"19","OK","0","11066","5763","12469","0","0"
"20","OK","0","11009","5590","12434","0","0"
